pump_freq_Hz,vna_freq_Hz,real,imag,amplitude_dB,phase_deg
5500000000,8012200000.0,[0.0028901],[1.52992493e-05],[-50.78162088],[0.30330239]
5505000000,8012200000.0,[-0.00034641],[0.00080979],[-61.10274957],[113.16032502]
5510000000,8012200000.0,[-0.00193676],[-0.00173027],[-51.71026824],[-138.22290397]
5515000000,8012200000.0,[-0.00184782],[0.00151097],[-52.44317837],[140.72705207]
5520000000,8012200000.0,[0.00116493],[0.00164984],[-53.89444624],[54.77463752]
5525000000,8012200000.0,[0.00273546],[-0.00013906],[-51.24817313],[-2.9101466]
5530000000,8012200000.0,[-0.0033011],[-0.00397099],[-45.74041762],[-129.73693141]
5535000000,8012200000.0,[-0.00200272],[-0.00261701],[-49.64184407],[-127.42582677]
5540000000,8012200000.0,[0.00333278],[-0.00018836],[-49.53001738],[-3.2348107]
5545000000,8012200000.0,[-0.00381317],[-0.00212256],[-47.20206076],[-150.89793542]
5550000000,8012200000.0,[-0.00074167],[0.00077487],[-59.39112968],[133.74568886]
5555000000,8012200000.0,[-0.0021434],[0.00027589],[-53.30657902],[172.66544782]
5560000000,8012200000.0,[-0.00240463],[-0.00359229],[-47.28466153],[-123.79781942]
5565000000,8012200000.0,[0.00046654],[-0.00104283],[-58.84340815],[-65.89722406]
5570000000,8012200000.0,[0.00255005],[-0.00280636],[-48.42289317],[-47.73954785]
5575000000,8012200000.0,[0.00525877],[-0.00035874],[-45.56215308],[-3.90248415]
5580000000,8012200000.0,[0.0054399],[-0.00761922],[-40.57272898],[-54.4742991]
5585000000,8012200000.0,[0.007441],[-0.00813289],[-39.15379688],[-47.54377572]
5590000000,8012200000.0,[0.0174496],[-0.01701517],[-32.26210395],[-44.27782785]
5595000000,8012200000.0,[0.05153311],[-0.07042072],[-21.18344993],[-53.80374534]
5600000000,8012200000.0,[0.08304852],[-0.52184738],[-5.54050757],[-80.95758931]
5605000000,8012200000.0,[0.05055147],[-0.06747011],[-21.48272893],[-53.15789101]
5610000000,8012200000.0,[0.01410655],[-0.02166636],[-31.74946647],[-56.93261443]
5615000000,8012200000.0,[0.00513037],[-0.00930637],[-39.47193909],[-61.13313094]
5620000000,8012200000.0,[0.00067168],[-0.00670874],[-43.42386263],[-84.28257349]
5625000000,8012200000.0,[0.00019131],[0.0006746],[-63.08312247],[74.16681245]
5630000000,8012200000.0,[0.00456319],[-0.00455169],[-43.81526739],[-44.92771455]
5635000000,8012200000.0,[0.00424751],[-0.0034143],[-45.27262072],[-38.7935553]
5640000000,8012200000.0,[0.00028486],[-0.00181329],[-54.72479055],[-81.07193257]
5645000000,8012200000.0,[0.0033286],[-0.00310708],[-46.83327212],[-43.02865436]
5650000000,8012200000.0,[-0.00058193],[0.00024316],[-64.00371977],[157.32227667]
5655000000,8012200000.0,[1.3632963e-06],[-0.00366733],[-48.71298916],[-89.97870085]
5660000000,8012200000.0,[0.00182754],[-0.00304038],[-49.00188686],[-58.99033817]
5665000000,8012200000.0,[-0.00064173],[0.00252205],[-51.69247723],[104.27589586]
5670000000,8012200000.0,[-0.00047799],[-0.00229342],[-52.60565059],[-101.77294687]
5675000000,8012200000.0,[-0.00187416],[0.00214463],[-50.90877642],[131.14978883]
5680000000,8012200000.0,[-0.00106008],[0.00034717],[-59.0507511],[161.86665514]
5685000000,8012200000.0,[-0.00419658],[-0.00051776],[-47.47647791],[-172.96662878]
5690000000,8012200000.0,[0.0017016],[-0.00131464],[-53.350074],[-37.68933671]
5695000000,8012200000.0,[-0.00130674],[-0.00272106],[-50.40398196],[-115.65181538]
5700000000,8012200000.0,[0.00150615],[0.00260963],[-50.41977171],[60.00856487]
